CharacterIndex;CharacterName;CharacterDesc;CharacterClass;CharacterPortraitID;MapSprite;BaseCharacterSkills;Race;UseCombinedGrowths;StartHP;StartingStr;StartingMag;StartingAgi;StartingSpd;StartingPdef;StartingMdef;StartingMana;StartingChr;StartingLck;StartingEnd;StartingMov;HPGrowth;StrGrowth;MagGrowth;AgiGrowth;SpdGrowth;PDefGrowth;MDefGrowth;ManaGrowth;ChrGrowth;LckGrowth;EndGrowth;MovGrowth;StartingSword;StartingPole;StartingAxe;StartingRanged;StartingMAGEFire;StartingMAGEIce;StartingMAGEThunder;StartingMAGEWind;StartingMAGEDawn;StartingMAGEDusk;StartingMAGEDragon;StartingMAGEMonster;StartingStave
CHARACTER_AUGUST;NAME_CHARACTER_AUGUST;DESC_CHARACTER_AUGUST;CLASS_AUGUST_PRINCE_BASE;PORTRAIT_CHARACTER_AUGUST_BASE;SPRITE_CHARACTER_AUGUST;0x0;RACE_ASCENDED;False;15;7;3;4;3;6;5;1;6;5;5;4;50;70;20;30;50;40;25;15;40;35;30;5;WPN_LEVEL_D;WPN_LEVEL_E;WPN_LEVEL_NONE;WPN_LEVEL_NONE;WPN_LEVEL_NONE;WPN_LEVEL_NONE;WPN_LEVEL_NONE;WPN_LEVEL_NONE;WPN_LEVEL_NONE;WPN_LEVEL_NONE;WPN_LEVEL_NONE;WPN_LEVEL_NONE;WPN_LEVEL_NONE
CHARACTER_BRIGAND_BANDIT_M;NAME_CHARACTER_BRIGAND;DESC_CHARACTER_BRIGAND;
CHARACTER_BRIGAND_BANDIT_F;NAME_CHARACTER_BRIGAND;DESC_CHARACTER_BRIGAND;
CHARACTER_BRIGAND_LANCER_M;NAME_CHARACTER_BRIGAND;DESC_CHARACTER_BRIGAND;
CHARACTER_BRIGAND_LANCER_F;NAME_CHARACTER_BRIGAND;DESC_CHARACTER_BRIGAND;
CHARACTER_BRIGAND_M;NAME_CHARACTER_BRIGAND;DESC_CHARACTER_BRIGAND;
CHARACTER_BRIGAND_F;NAME_CHARACTER_BRIGAND;DESC_CHARACTER_BRIGAND;
CHARACTER_BRIGAND_ARCHER_M;NAME_CHARACTER_BRIGAND;DESC_CHARACTER_BRIGAND;
CHARACTER_BRIGAND_ARCHER_F;NAME_CHARACTER_BRIGAND;DESC_CHARACTER_BRIGAND;
CHARACTER_BRIGAND_LIGHT_CAV_M;NAME_CHARACTER_BRIGAND;DESC_CHARACTER_BRIGAND;
CHARACTER_BRIGAND_LIGHT_CAV_F;NAME_CHARACTER_BRIGAND;DESC_CHARACTER_BRIGAND;
CHARACTER_BRIGAND_ARCHER_CAV_M;NAME_CHARACTER_BRIGAND;DESC_CHARACTER_BRIGAND;
CHARACTER_BRIGAND_ARCHER_CAV_F;NAME_CHARACTER_BRIGAND;DESC_CHARACTER_BRIGAND;
CHARACTER_NPC_EMPEROR;NAME_CHARACTER_EMPEROR;DESC_CHARACTER_EMPEROR;
CHARACTER_NPC_EMPRESS;NAME_CHARACTER_EMPRESS;DESC_CHARACTER_EMPRESS;
